Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded,link,wiki_link
DTE,DTE Energy,Utilities,Multi-Utilities,"Detroit, Michigan",1957-03-04,936340,1995,/wiki/DTE_Energy,https://en.wikipedia.org/wiki/DTE_Energy
DUK,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",1976-06-30,1326160,1904,/wiki/Duke_Energy,https://en.wikipedia.org/wiki/Duke_Energy
DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-04-02,1666700,2017 (1802),/wiki/DuPont,https://en.wikipedia.org/wiki/DuPont
EMN,Eastman Chemical Company,Materials,Specialty Chemicals,"Kingsport, Tennessee",1994-01-01,915389,1920,/wiki/Eastman_Chemical_Company,https://en.wikipedia.org/wiki/Eastman_Chemical_Company
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,"Dublin, Ireland",1957-03-04,1551182,1911,/wiki/Eaton_Corporation,https://en.wikipedia.org/wiki/Eaton_Corporation
EBAY,eBay,Consumer Discretionary,Broadline Retail,"San Jose, California",2002-07-22,1065088,1995,/wiki/EBay,https://en.wikipedia.org/wiki/EBay
ECL,Ecolab,Materials,Specialty Chemicals,"Saint Paul, Minnesota",1989-01-31,31462,1923,/wiki/Ecolab,https://en.wikipedia.org/wiki/Ecolab
EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",1957-03-04,827052,1886,/wiki/Edison_International,https://en.wikipedia.org/wiki/Edison_International
EW,Edwards Lifesciences,Health Care,Health Care Equipment,"Irvine, California",2011-04-01,1099800,1958,/wiki/Edwards_Lifesciences,https://en.wikipedia.org/wiki/Edwards_Lifesciences
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California",2002-07-22,712515,1982,/wiki/Electronic_Arts,https://en.wikipedia.org/wiki/Electronic_Arts
ELV,Elevance Health,Health Care,Managed Health Care,"Indianapolis, Indiana",2002-07-25,1156039,2014 (1946),/wiki/Elevance_Health,https://en.wikipedia.org/wiki/Elevance_Health
EMR,Emerson Electric,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",1965-03-31,32604,1890,/wiki/Emerson_Electric,https://en.wikipedia.org/wiki/Emerson_Electric
ENPH,Enphase,Information Technology,Semiconductor Materials & Equipment,"Fremont, California",2021-01-07,1463101,2006,/wiki/Enphase,https://en.wikipedia.org/wiki/Enphase
ETR,Entergy,Utilities,Electric Utilities,"New Orleans, Louisiana",1957-03-04,65984,1913,/wiki/Entergy,https://en.wikipedia.org/wiki/Entergy
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2000-11-02,821189,1999,/wiki/EOG_Resources,https://en.wikipedia.org/wiki/EOG_Resources
EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,"Newtown, Pennsylvania",2021-12-14,1352010,1993,/wiki/EPAM_Systems,https://en.wikipedia.org/wiki/EPAM_Systems
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania",2022-10-03,33213,1888,/wiki/EQT_Corporation,https://en.wikipedia.org/wiki/EQT_Corporation
EFX,Equifax,Industrials,Research & Consulting Services,"Atlanta, Georgia",1997-06-19,33185,1899,/wiki/Equifax,https://en.wikipedia.org/wiki/Equifax
EQIX,Equinix,Real Estate,Data Center REITs,"Redwood City, California",2015-03-20,1101239,1998,/wiki/Equinix,https://en.wikipedia.org/wiki/Equinix
EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,"Chicago, Illinois",2001-12-03,906107,1969,/wiki/Equity_Residential,https://en.wikipedia.org/wiki/Equity_Residential
ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,"San Mateo, California",2014-04-02,920522,1971,/wiki/Essex_Property_Trust,https://en.wikipedia.org/wiki/Essex_Property_Trust
EL,Estée Lauder Companies (The),Consumer Staples,Personal Care Products,"New York City, New York",2006-01-05,1001250,1946,/wiki/The_Est%C3%A9e_Lauder_Companies,https://en.wikipedia.org/wiki/The_Est%C3%A9e_Lauder_Companies
ETSY,Etsy,Consumer Discretionary,Broadline Retail,"New York City, New York",2020-09-21,1370637,2005,/wiki/Etsy,https://en.wikipedia.org/wiki/Etsy
EG,Everest Re,Financials,Reinsurance,"Hamilton, Bermuda",2017-06-19,1095073,1973,/wiki/Everest_Re,https://en.wikipedia.org/wiki/Everest_Re
EVRG,Evergy,Utilities,Electric Utilities,"Kansas City, Missouri",2018-06-05,1711269,1909,/wiki/Evergy,https://en.wikipedia.org/wiki/Evergy
ES,Eversource,Utilities,Electric Utilities,"Hartford, Connecticut",2009-07-24,72741,1966,/wiki/Eversource,https://en.wikipedia.org/wiki/Eversource
EXC,Exelon,Utilities,Electric Utilities,"Chicago, Illinois",1957-03-04,1109357,2000,/wiki/Exelon,https://en.wikipedia.org/wiki/Exelon
EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Seattle, Washington",2007-10-02,1324424,1996,/wiki/Expedia_Group,https://en.wikipedia.org/wiki/Expedia_Group
EXPD,Expeditors International,Industrials,Air Freight & Logistics,"Seattle, Washington",2007-10-10,746515,1979,/wiki/Expeditors_International,https://en.wikipedia.org/wiki/Expeditors_International
EXR,Extra Space Storage,Real Estate,Self-Storage REITs,"Salt Lake City, Utah",2016-01-19,1289490,1977,/wiki/Extra_Space_Storage,https://en.wikipedia.org/wiki/Extra_Space_Storage
XOM,ExxonMobil,Energy,Integrated Oil & Gas,"Irving, Texas",1957-03-04,34088,1999,/wiki/ExxonMobil,https://en.wikipedia.org/wiki/ExxonMobil
FFIV,"F5, Inc.",Information Technology,Communications Equipment,"Seattle, Washington",2010-12-20,1048695,1996,"/wiki/F5,_Inc.","https://en.wikipedia.org/wiki/F5,_Inc."
FDS,FactSet,Financials,Financial Exchanges & Data,"Norwalk, Connecticut",2021-12-20,1013237,1978,/wiki/FactSet,https://en.wikipedia.org/wiki/FactSet
FICO,Fair Isaac,Information Technology,Application Software,"Bozeman, Montana",2023-03-20,814547,1956,/wiki/FICO,https://en.wikipedia.org/wiki/FICO
FAST,Fastenal,Industrials,Trading Companies & Distributors,"Winona, Minnesota",2008-09-15,815556,1967,/wiki/Fastenal,https://en.wikipedia.org/wiki/Fastenal
FRT,Federal Realty,Real Estate,Retail REITs,"Rockville, Maryland",2016-02-01,34903,1962,/wiki/Federal_Realty,https://en.wikipedia.org/wiki/Federal_Realty
FDX,FedEx,Industrials,Air Freight & Logistics,"Memphis, Tennessee",1980-12-31,1048911,1971,/wiki/FedEx,https://en.wikipedia.org/wiki/FedEx
FIS,Fidelity National Information Services,Financials,Transaction & Payment Processing Services,"Jacksonville, Florida",2006-11-10,1136893,1968,/wiki/FIS_(company),https://en.wikipedia.org/wiki/FIS_(company)
FITB,Fifth Third Bank,Financials,Diversified Banks,"Cincinnati, Ohio",1996-03-29,35527,1858,/wiki/Fifth_Third_Bank,https://en.wikipedia.org/wiki/Fifth_Third_Bank
FSLR,First Solar,Information Technology,Semiconductors,"Tempe, Arizona",2022-12-19,1274494,1999,/wiki/First_Solar,https://en.wikipedia.org/wiki/First_Solar
